staff_id,name,dob,role,location_id
3,Velva Shields,1976-07-30,Back-of-house,1
4,Francesco Schinner,1997-07-01,Back-of-house,18
5,Annis Murphy,1973-08-05,Chef,15
10,Colby Schneider,1961-09-17,Front-of-house,10
10,Colby Schneider,1961-09-17,Front-of-house,21
11,Ebonie Kulas,1981-07-20,Chef,1
11,Ebonie Kulas,1981-07-20,Chef,8
13,Susannah Nikolaus,2003-06-19,Front-of-house,25
18,Carey Stark,1983-04-12,Chef,4
19,Max Von,1973-06-17,Front-of-house,15
26,Marianne Gleason,2004-04-26,Manager,14
26,Marianne Gleason,2004-04-26,Manager,5
34,Mirta Kling,1963-02-24,Chef,25
38,Wynell Shanahan,1999-12-19,Chef,10
49,Steven Ullrich,1989-01-07,Manager,13
58,Jeromy Crooks,1985-09-16,Chef,18
60,Lincoln Ratke,2001-01-17,Manager,7
64,Elisa Walker,1992-02-15,Chef,20
64,Elisa Walker,1992-02-15,Chef,19
65,Letisha Kerluke,1983-11-15,Back-of-house,12
65,Letisha Kerluke,1983-11-15,Back-of-house,21
66,Shila Kiehn,1992-11-17,Back-of-house,14
71,Jess Dach,1958-09-07,Manager,17
71,Jess Dach,1958-09-07,Manager,2
71,Jess Dach,1958-09-07,Manager,12
74,Carmelia Windler,1994-03-27,Manager,20
75,Colby Kihn,1991-12-06,Manager,15
77,Tim Wiza,1984-01-04,Back-of-house,14
78,Gail Bergstrom,1961-10-29,Front-of-house,11
80,Myrl Koss,1996-04-28,Front-of-house,13
81,Darcel Goldner,1977-03-11,Chef,21
82,Robert Beatty,1998-05-10,Back-of-house,15
84,Ernestine Heathcote,1965-09-04,Manager,22
84,Ernestine Heathcote,1965-09-04,Manager,24
89,Kendall O'Keefe,1959-05-27,Chef,24
89,Kendall O'Keefe,1959-05-27,Chef,4
91,Adrien Kulas,1991-10-01,Manager,4
93,Phyliss Marquardt,1983-01-07,Manager,12
100,Lilly Wehner,1985-04-19,Front-of-house,7
103,Domenic Kris,1960-02-26,Back-of-house,14
104,Janeth Buckridge,2004-03-15,Back-of-house,21
105,Adrienne Schinner,1960-04-04,Manager,8
105,Adrienne Schinner,1960-04-04,Manager,23
110,Jaye Lind,1959-01-22,Chef,4
111,Bryon Hudson,1987-07-12,Manager,6
112,Brant Hahn,1996-11-16,Chef,24
112,Brant Hahn,1996-11-16,Chef,15
114,Fernande Kuhlman,1968-05-07,Front-of-house,10
115,Reid Boyle,1965-07-15,Manager,13
115,Reid Boyle,1965-07-15,Manager,1
116,Madelene Treutel,1967-02-13,Back-of-house,9
118,Almeda D'Amore,2001-12-08,Front-of-house,5
129,Mariella Hirthe,1999-11-03,Back-of-house,17
131,Justin Runolfsdottir,1969-02-17,Back-of-house,15
132,Libbie Marquardt,1972-02-13,Back-of-house,20
132,Libbie Marquardt,1972-02-13,Back-of-house,16
136,Mabel Miller,1964-02-29,Manager,8
140,Leslie Cormier,1978-01-20,Back-of-house,17
140,Leslie Cormier,1978-01-20,Back-of-house,23
140,Leslie Cormier,1978-01-20,Back-of-house,11
141,Althea Gutkowski,1985-02-28,Back-of-house,3
143,Nanette Roberts,1969-01-04,Front-of-house,17
148,Josefina Prosacco,1961-03-20,Front-of-house,2
149,Jolie Bradtke,1961-04-25,Back-of-house,17
149,Jolie Bradtke,1961-04-25,Back-of-house,15
151,Scottie Brakus,1958-04-09,Manager,3
151,Scottie Brakus,1958-04-09,Manager,5
151,Scottie Brakus,1958-04-09,Manager,20
152,Era Pagac,1969-01-08,Chef,3
154,Candida Smith,2003-01-02,Back-of-house,8
155,Keith Bashirian,1973-04-23,Chef,4
160,Royce Russel,1996-12-01,Front-of-house,24
161,Quyen Tremblay,1982-05-21,Manager,12
163,Eloy Stamm,1982-03-14,Back-of-house,8
173,Evan Larson,1964-10-15,Chef,11
174,Ricky Roberts,1958-04-23,Manager,18
176,Royce Dach,1981-05-07,Front-of-house,5
176,Royce Dach,1981-05-07,Front-of-house,1
176,Royce Dach,1981-05-07,Front-of-house,11
176,Royce Dach,1981-05-07,Front-of-house,10
177,Autumn Ernser,1989-02-07,Chef,16
181,Sarita Greenholt,1969-10-07,Front-of-house,10
183,Mirella Luettgen,2000-05-14,Front-of-house,13
183,Mirella Luettgen,2000-05-14,Front-of-house,23
186,Reyes Cassin,2000-12-14,Front-of-house,12
190,Santiago Muller,1999-09-10,Manager,10
191,Emmanuel Prohaska,1995-10-12,Back-of-house,22
193,Alvaro Weimann,1983-11-06,Back-of-house,17
197,Tracy Nolan,1985-12-14,Front-of-house,13
198,Junko Gislason,1998-11-27,Chef,16
199,Jarvis Maggio,1986-11-30,Back-of-house,16
201,Marx Leuschke,1967-10-09,Manager,6
201,Marx Leuschke,1967-10-09,Manager,19
206,Jacquie Hahn,1984-03-28,Chef,21
207,Kim Russel,1994-04-19,Front-of-house,13
209,James Champlin,1979-12-14,Back-of-house,14
211,Annamae Wehner,2001-01-04,Front-of-house,22
218,Santo Hills,1958-06-17,Chef,15
218,Santo Hills,1958-06-17,Chef,9
219,Emerita Wisozk,1968-05-11,Back-of-house,12
220,Rashad Ziemann,1999-09-05,Front-of-house,23
221,Shaquana Rempel,1985-08-24,Chef,2
223,Magdalen Dibbert,1989-09-14,Front-of-house,5
223,Magdalen Dibbert,1989-09-14,Front-of-house,14
225,Reid Lehner,1987-09-20,Manager,4
225,Reid Lehner,1987-09-20,Manager,21
226,Nancee Spencer,1963-03-28,Chef,21
229,Mardell McGlynn,1971-01-26,Front-of-house,8
229,Mardell McGlynn,1971-01-26,Front-of-house,7
235,Luke Luettgen,1967-08-14,Manager,14
235,Luke Luettgen,1967-08-14,Manager,21
239,Carson Carroll,1999-07-24,Back-of-house,13
242,Buford Conroy,1996-11-27,Manager,13
245,Mario Raynor,1967-11-24,Back-of-house,25
251,Bennie Spencer,1998-12-31,Back-of-house,16
253,Jessi Schneider,1986-07-22,Chef,21
254,Luise Leuschke,1999-04-20,Back-of-house,16
260,Guillermo Gutmann,1992-09-04,Chef,24
262,Luanna Collins,1984-09-02,Front-of-house,23
263,Lauralee Williamson,1978-06-12,Front-of-house,15
264,Billy Schiller,1966-08-23,Front-of-house,7
265,Carlton Brekke,1992-06-12,Front-of-house,13
268,Ed Senger,1976-12-09,Chef,25
268,Ed Senger,1976-12-09,Chef,18
268,Ed Senger,1976-12-09,Chef,15
271,Seth Schoen,1986-02-17,Manager,5
